,Latitude_2019,Longitude_2019,elev_2019,Latitude_2011,Longitude_2011,elev_2011,Latitude_2012, Longitude_2012, elev_2012,Latitude_2013,Longitude_2013,elev_2013,Latitude_2014,Longitude_2014,elev_2014,Latitude_2015,Longitude_2015,elev_2015,Latitude_2016,Longitude_2016,elev_2016,Latitude_2018,Longitude_2018,elev_2018
111,69.252553,310.356729,469.169,69.253623,310.392451,563.8287,69.254484,310.392408,560.9208,69.256008,310.390406,574.8855,69.254626,310.391425,556.9176,69.253743,310.391888,550.6323,69.253807,310.392549,546.0147,,,
115,69.252202,310.356847,461.8451,69.253317,310.392649,561.9387,69.254212,310.392232,565.2816,69.25579,310.390566,574.8251,69.254359,310.391594,559.2401,69.253446,310.392074,549.7109,69.25351,310.392724,540.4008,,,
119,69.251851,310.356965,453.8084,69.253011,310.392847,556.626,69.253939,310.392056,568.0149,69.255572,310.390726,572.4313,69.254091,310.391764,555.7311,69.253149,310.39226,547.4291,69.253214,310.3929,536.2347,,,
123,69.2515,310.357084,444.8322,69.252705,310.393046,553.0428,69.253666,310.391879,567.8768,69.255353,310.390886,568.3628,69.253824,310.391933,553.8667,69.252851,310.392447,544.0385,69.252918,310.393076,537.0299,,,
127,69.25115,310.357203,437.2598,69.252399,310.393244,554.8745,69.253393,310.391703,570.5367,69.255135,310.391044,560.2483,69.253557,310.392101,556.126,69.252554,310.392632,545.6058,69.252621,310.393253,540.2617,,,
131,69.250799,310.357324,428.87,69.252093,310.393441,555.1391,69.25312,310.391527,572.6092,69.254917,310.391203,557.9311,69.25329,310.39227,550.9861,69.252257,310.392817,548.2732,69.252325,310.393429,536.2979,,,
135,69.250449,310.357445,423.7974,69.251787,310.393639,548.0783,69.252847,310.391351,568.2507,69.254699,310.391361,564.6154,69.253022,310.392439,548.37,69.251961,310.393003,546.5047,69.252028,310.393606,533.1249,,,
139,69.250099,310.357567,418.2213,69.251482,310.393836,545.7883,69.252574,310.391175,567.9504,69.254481,310.391518,561.2102,69.252755,310.392609,547.2388,69.251664,310.393188,540.0881,69.251732,310.393783,537.9771,,,
143,69.249749,310.357691,416.1536,69.251176,310.394033,548.5143,69.252301,310.390999,575.3457,69.254263,310.391676,552.075,69.252488,310.392777,546.2692,69.251368,310.393372,534.8779,69.251435,310.39396,537.2578,,,
147,69.249399,310.357815,414.5794,69.250871,310.394229,544.5856,69.252027,310.390822,576.8474,69.254046,310.391833,552.58,69.252221,310.392946,548.4153,69.251071,310.393557,531.5353,69.251139,310.394137,527.9761,,,
151,69.249049,310.357939,408.9565,69.250566,310.394425,538.5759,69.251754,310.390646,577.3586,69.253828,310.391989,556.3451,69.251953,310.393114,544.8723,69.250775,310.393742,529.7824,69.250843,310.394315,523.6107,,,
155,69.2487,310.358065,403.1206,69.250261,310.394621,537.7774,69.251481,310.390468,577.7442,69.253611,310.392145,553.3984,69.251686,310.393282,538.1334,69.250478,310.393926,529.3774,69.250547,310.394493,523.7089,,,
159,69.24835,310.358192,395.5893,69.249956,310.394817,535.1788,69.251208,310.390292,573.2462,69.253393,310.392301,547.2901,69.251418,310.39345,539.7635,69.250182,310.39411,525.032,69.250251,310.39467,520.1127,,,
163,69.248001,310.35832,386.6035,69.249652,310.395012,530.2726,69.250934,310.390115,576.9894,69.253175,310.392456,544.8265,69.251151,310.393619,542.1438,69.249886,310.394294,522.8858,69.249954,310.394848,520.6443,,,
167,69.247652,310.358448,379.0582,69.249347,310.395207,531.3658,69.25066,310.389939,574.9782,69.252957,310.392611,549.4047,69.250884,310.393788,533.849,69.249591,310.394478,520.3775,69.249657,310.395025,521.5375,,,
171,69.247303,310.358577,371.1254,69.249043,310.395402,526.2401,69.250387,310.389763,569.1018,69.25274,310.392765,549.7997,69.250616,310.393954,529.8588,69.249295,310.394662,521.5875,69.249361,310.395202,516.5842,,,
175,69.246955,310.358706,363.5781,69.248739,310.395596,521.92,69.250113,310.389585,570.1655,69.252522,310.392919,548.8618,69.250349,310.394124,528.9975,69.248999,310.394846,525.3363,69.249065,310.395379,510.3202,,,
179,69.246606,310.358836,358.2671,69.248435,310.395791,518.0408,69.24984,310.389408,570.9001,69.252304,310.393073,544.7245,69.250081,310.394292,524.962,69.248703,310.39503,520.0941,69.248768,310.395556,511.1163,,,
183,69.246258,310.358967,353.6327,69.248131,310.395985,518.3771,69.249566,310.389232,566.7942,69.252087,310.393226,537.0111,69.249814,310.394459,523.2778,69.248408,310.395213,519.5644,69.248472,310.395732,515.0705,,,
